,overall,color_1,past_overall,color_2
Türkiye,78.33,#ffd428,78.0,#ffd428
Adana,77.66,#ff972f,77.53,#ff972f
Adıyaman,79.29,#81d41a,79.71,#81d41a
Afyonkarahisar,76.96,#ff0000,77.07,#ff972f
Aksaray,78.51,#ffd428,78.32,#ffd428
Amasya,78.99,#ffd428,78.47,#ffd428
Ankara,79.29,#81d41a,79.36,#81d41a
Antalya,79.73,#81d41a,79.3,#81d41a
Ardahan,77.62,#ff972f,76.93,#ff0000
Artvin,79.46,#81d41a,79.35,#81d41a
Aydın,78.57,#ffd428,78.53,#ffd428
Ağrı,76.78,#ff0000,76.77,#ff0000
Balıkesir,78.02,#ffd428,77.5,#ff972f
Bartın,78.5,#ffd428,77.89,#ff972f
Batman,78.48,#ffd428,79.29,#81d41a
Bayburt,79.22,#81d41a,79.08,#81d41a
Bilecik,77.85,#ff972f,77.83,#ff972f
Bingöl,79.18,#81d41a,78.84,#ffd428
Bitlis,77.79,#ff972f,78.4,#ffd428
Bolu,79.52,#81d41a,79.15,#81d41a
Burdur,79.13,#81d41a,79.17,#81d41a
Bursa,78.24,#ffd428,77.68,#ff972f
Denizli,78.48,#ffd428,78.17,#ffd428
Diyarbakır,78.48,#ffd428,78.91,#ffd428
Düzce,78.04,#ffd428,77.49,#ff972f
Edirne,77.95,#ff972f,77.35,#ff972f
Elazığ,78.72,#ffd428,78.63,#ffd428
Erzincan,79.6,#81d41a,79.19,#81d41a
Erzurum,77.58,#ff972f,77.29,#ff972f
Eskişehir,78.54,#ffd428,77.98,#ff972f
Gaziantep,76.38,#ff0000,76.94,#ff0000
Giresun,79.99,#81d41a,79.67,#81d41a
Gümüşhane,80.78,#3faf46,79.77,#81d41a
Hakkari,77.17,#ff972f,77.12,#ff972f
Hatay,77.65,#ff972f,77.93,#ff972f
Isparta,78.66,#ffd428,78.7,#ffd428
Iğdır,79.11,#81d41a,78.83,#ffd428
Kahramanmaraş,78.86,#ffd428,79.24,#81d41a
Karabük,79.07,#81d41a,78.4,#ffd428
Karaman,78.77,#ffd428,78.72,#ffd428
Kars,77.78,#ff972f,77.34,#ff972f
Kastamonu,78.02,#ffd428,77.36,#ff972f
Kayseri,78.24,#ffd428,77.87,#ff972f
Kilis,76.09,#ff0000,76.14,#ff0000
Kocaeli,78.38,#ffd428,78.08,#ffd428
Konya,78.13,#ffd428,78.33,#ffd428
Kütahya,77.46,#ff972f,76.79,#ff0000
Kırklareli,78.03,#ffd428,77.68,#ff972f
Kırıkkale,77.93,#ff972f,77.78,#ff972f
Kırşehir,77.84,#ff972f,78.46,#ffd428
Malatya,79.02,#81d41a,79.02,#81d41a
Manisa,77.37,#ff972f,77.1,#ff972f
Mardin,79.32,#81d41a,79.83,#81d41a
Mersin,78.91,#ffd428,78.23,#ffd428
Muğla,80.7,#3faf46,80.28,#3faf46
Muş,78.03,#ffd428,77.45,#ff972f
Nevşehir,77.91,#ff972f,77.85,#ff972f
Niğde,78.3,#ffd428,77.63,#ff972f
Ordu,80.04,#3faf46,79.29,#81d41a
Osmaniye,78.47,#ffd428,78.01,#ffd428
Rize,79.4,#81d41a,79.01,#81d41a
Sakarya,77.85,#ff972f,77.51,#ff972f
Samsun,78.55,#ffd428,78.07,#ffd428
Siirt,78.02,#ffd428,78.37,#ffd428
Sinop,78.61,#ffd428,78.41,#ffd428
Sivas,78.46,#ffd428,77.97,#ff972f
Tekirdağ,77.77,#ff972f,77.58,#ff972f
Tokat,78.09,#ffd428,77.52,#ff972f
Trabzon,80.29,#3faf46,80.0,#81d41a
Tunceli,80.33,#3faf46,80.69,#3faf46
Uşak,77.65,#ff972f,78.11,#ffd428
Van,77.1,#ff972f,76.96,#ff0000
Yalova,79.21,#81d41a,78.61,#ffd428
Yozgat,77.73,#ff972f,77.48,#ff972f
Zonguldak,78.2,#ffd428,77.81,#ff972f
Çanakkale,78.65,#ffd428,77.99,#ff972f
Çankırı,77.78,#ff972f,78.03,#ffd428
Çorum,78.85,#ffd428,78.63,#ffd428
İstanbul,79.08,#81d41a,78.7,#ffd428
İzmir,78.99,#ffd428,78.65,#ffd428
Şanlıurfa,77.57,#ff972f,77.73,#ff972f
Şırnak,78.32,#ffd428,77.62,#ff972f
