year	males	females
1950	53.92	61.98
1951	53.92	61.98
1952	53.92	61.98
1953	53.92	61.98
1954	57.01	61.98
1955	60.10	65.11
1956	60.10	68.24
1957	60.10	68.24
1958	60.10	68.24
1959	62.85	71.16
1960	63.67	72.31
1961	63.90	72.62
1962	63.68	72.27
1963	64.13	72.78
1964	64.89	73.58
1965	64.36	73.31
1966	64.28	73.55
1967	64.02	73.43
1968	63.72	73.55
1969	63.07	73.29
1970	63.07	73.44
1971	63.24	73.77
1972	63.24	73.62
1973	63.28	73.56
1974	63.13	73.77
1975	62.48	73.22
1976	62.19	73.05
1977	61.82	73.19
1978	61.83	73.23
1979	61.49	73.02
1980	61.39	72.96
1981	61.62	73.18
1982	62.24	73.63
1983	62.16	73.42
1984	61.71	72.96
1985	62.73	73.24
1986	64.76	74.20
1987	64.84	74.27
1988	64.62	74.25
1989	64.20	74.49
1990	63.76	74.31
1991	63.41	74.23
1992	61.96	73.70
1993	58.79	71.84
1994	57.38	71.06
1995	58.12	71.60
1996	59.60	72.40
1997	60.84	72.84
1998	61.19	73.12
1999	59.87	72.42
2000	58.98	72.23
2001	58.89	72.16
2002	58.64	71.88
2003	58.54	71.87
2004	58.89	72.33
2005	58.91	72.45
2006	60.40	73.29
2007	61.42	73.96
2008	61.89	74.25
2009	62.85	74.78
2010	63.06	74.87
2011	64.01	75.60
2012	64.53	75.84
2013	65.10	76.29
2014	65.26	76.48
2015	65.92	76.71
2016	66.50	77.06
2017	67.51	77.64
2018	67.75	77.82
2019	66.81	77.54
2020	66.81	77.54
