"By age",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"By age",Expectation of life at age (Total) (Years),Expectation of life at age (Male) (Years),Expectation of life at age (Female) (Years),Probability of dying (Total),Probability of dying (Male),Probability of dying (Female),Number of people left alive at age (Total),Number of people left alive at age (Male),Number of people left alive at age (Female),Person-years lived between ages (Total),Person-years lived between ages (Male),Person-years lived between ages (Female),Person-years lived above age (Total),Person-years lived above age (Male),Person-years lived above age (Female),Number of people dying (Total),Number of people dying (Male),Number of people dying (Female)
"0 Years",83.5,80.6,86.4,0.00242,0.00268,0.00214,100000,100000,100000,99804,99775,99834,8349467,8056913,8642134,242,268,214
"1 Years",82.7,79.8,85.6,0.00056,0.00059,0.00053,99758,99732,99786,398909,398788,399036,8249663,7957138,8542300,55,58,52
"5 Years",78.7,75.8,81.6,0.00037,0.00039,0.00035,99703,99673,99734,498415,498261,498576,7850754,7558350,8143265,37,39,35
"10 Years",73.8,70.9,76.7,0.00053,0.00053,0.00053,99666,99635,99699,498222,498068,498382,7352339,7060090,7644689,53,52,53
"15 Years",68.8,65.9,71.7,0.00119,0.00134,0.00105,99613,99582,99646,497793,497613,497980,6854118,6562022,7146307,119,133,105
"20 Years",63.9,61.0,66.8,0.00179,0.00219,0.00139,99495,99449,99541,497050,496727,497379,6356325,6064409,6648327,178,218,138
"25 Years",59.0,56.1,61.9,0.00233,0.00299,0.00167,99317,99231,99403,496025,495451,496605,5859275,5567681,6150948,232,297,166
"30 Years",54.1,51.3,57.0,0.00280,0.00346,0.00214,99085,98934,99237,494744,493827,495668,5363250,5072230,5654342,277,342,213
"35 Years",49.3,46.4,52.1,0.00373,0.00468,0.00279,98808,98592,99025,493177,491885,494476,4868506,4578403,5158674,368,461,276
"40 Years",44.4,41.6,47.2,0.00545,0.00686,0.00404,98439,98131,98749,490934,489083,492791,4375328,4086519,4664197,536,674,399
"45 Years",39.7,36.9,42.4,0.00788,0.01026,0.00552,97903,97457,98350,487713,484973,490460,3884394,3597435,4171406,771,1000,542
"50 Years",35.0,32.3,37.6,0.01183,0.01642,0.00730,97132,96457,97807,482975,478592,487364,3396681,3112463,3680946,1149,1584,714
"55 Years",30.4,27.8,32.9,0.01753,0.02535,0.00990,95983,94873,97094,475923,468711,483143,2913706,2633870,3193582,1683,2405,961
"60 Years",25.9,23.4,28.2,0.02543,0.03743,0.01388,94300,92469,96133,465875,454217,477540,2437783,2165159,2710440,2398,3462,1335
"65 Years",21.5,19.2,23.6,0.03892,0.05740,0.02156,91902,89007,94798,451217,433118,469321,1971908,1710942,2232900,3577,5109,2044
"70 Years",17.2,15.2,19.0,0.06639,0.09527,0.04026,88325,83898,92754,428130,400937,455329,1520691,1277824,1763579,5864,7993,3734
"75 Years",13.2,11.6,14.7,0.11802,0.16158,0.08088,82462,75905,89020,390262,351221,429309,1092561,876887,1308250,9732,12265,7200
"80 Years",9.7,8.3,10.7,0.23368,0.30361,0.17929,72729,63640,81819,324153,272354,375957,702299,525666,878941,16996,19322,14670
"85 Years",6.8,5.7,7.5,0.40369,0.49354,0.34439,55734,44318,67150,223471,166274,280672,378146,253313,502984,22499,21873,23126
"90 Years",4.7,3.9,5.0,0.60556,0.69708,0.55890,33235,22445,44024,112898,69098,156699,154674,87038,222312,20125,15646,24605
"95 Years",3.2,2.6,3.4,0.78690,0.85795,0.76202,13109,6799,19419,35528,16159,54898,41777,17940,65613,10316,5833,14798
"100 Years old & over",2.2,1.8,2.3,1.00000,1.00000,1.00000,2794,966,4621,6249,1781,10716,6249,1781,10716,2794,966,4621
